cell_id,x,y,last_observed,age,overdue,grid_row,grid_col
cell_000_000,20.0,20.0,400.0,200.0,True,0,0
cell_000_001,60.0,20.0,407.0,193.0,True,0,1
cell_000_002,100.0,20.0,414.0,186.0,True,0,2
cell_000_003,140.0,20.0,528.0,72.0,False,0,3
cell_000_004,180.0,20.0,585.0,15.0,False,0,4
cell_000_005,220.0,20.0,541.0,59.0,False,0,5
cell_000_006,260.0,20.0,452.0,148.0,False,0,6
cell_000_007,300.0,20.0,600.0,0.0,False,0,7
cell_000_008,340.0,20.0,596.0,4.0,False,0,8
cell_000_009,380.0,20.0,,600.0,True,0,9
cell_000_010,420.0,20.0,533.0,67.0,False,0,10
cell_000_011,460.0,20.0,,600.0,True,0,11
cell_001_000,20.0,60.0,391.0,209.0,True,1,0
cell_001_001,60.0,60.0,397.0,203.0,True,1,1
cell_001_002,100.0,60.0,415.0,185.0,True,1,2
cell_001_003,140.0,60.0,575.0,25.0,False,1,3
cell_001_004,180.0,60.0,590.0,10.0,False,1,4
cell_001_005,220.0,60.0,594.0,6.0,False,1,5
cell_001_006,260.0,60.0,581.0,19.0,False,1,6
cell_001_007,300.0,60.0,600.0,0.0,False,1,7
cell_001_008,340.0,60.0,402.0,198.0,True,1,8
cell_001_009,380.0,60.0,543.0,57.0,False,1,9
cell_001_010,420.0,60.0,537.0,63.0,False,1,10
cell_001_011,460.0,60.0,,600.0,True,1,11
cell_002_000,20.0,100.0,557.0,43.0,False,2,0
cell_002_001,60.0,100.0,563.0,37.0,False,2,1
cell_002_002,100.0,100.0,565.0,35.0,False,2,2
cell_002_003,140.0,100.0,569.0,31.0,False,2,3
cell_002_004,180.0,100.0,553.0,47.0,False,2,4
cell_002_005,220.0,100.0,600.0,0.0,False,2,5
cell_002_006,260.0,100.0,600.0,0.0,False,2,6
cell_002_007,300.0,100.0,570.0,30.0,False,2,7
cell_002_008,340.0,100.0,551.0,49.0,False,2,8
cell_002_009,380.0,100.0,572.0,28.0,False,2,9
cell_002_010,420.0,100.0,579.0,21.0,False,2,10
cell_002_011,460.0,100.0,516.0,84.0,False,2,11
cell_003_000,20.0,140.0,553.0,47.0,False,3,0
cell_003_001,60.0,140.0,570.0,30.0,False,3,1
cell_003_002,100.0,140.0,597.0,3.0,False,3,2
cell_003_003,140.0,140.0,600.0,0.0,False,3,3
cell_003_004,180.0,140.0,445.0,155.0,False,3,4
cell_003_005,220.0,140.0,600.0,0.0,False,3,5
cell_003_006,260.0,140.0,600.0,0.0,False,3,6
cell_003_007,300.0,140.0,565.0,35.0,False,3,7
cell_003_008,340.0,140.0,564.0,36.0,False,3,8
cell_003_009,380.0,140.0,569.0,31.0,False,3,9
cell_003_010,420.0,140.0,586.0,14.0,False,3,10
cell_003_011,460.0,140.0,511.0,89.0,False,3,11
cell_004_000,20.0,180.0,545.0,55.0,False,4,0
cell_004_001,60.0,180.0,576.0,24.0,False,4,1
cell_004_002,100.0,180.0,576.0,24.0,False,4,2
cell_004_003,140.0,180.0,598.0,2.0,False,4,3
cell_004_004,180.0,180.0,581.0,19.0,False,4,4
cell_004_005,220.0,180.0,575.0,25.0,False,4,5
cell_004_006,260.0,180.0,596.0,4.0,False,4,6
cell_004_007,300.0,180.0,600.0,0.0,False,4,7
cell_004_008,340.0,180.0,560.0,40.0,False,4,8
cell_004_009,380.0,180.0,545.0,55.0,False,4,9
cell_004_010,420.0,180.0,592.0,8.0,False,4,10
cell_004_011,460.0,180.0,591.0,9.0,False,4,11
cell_005_000,20.0,220.0,402.0,198.0,True,5,0
cell_005_001,60.0,220.0,581.0,19.0,False,5,1
cell_005_002,100.0,220.0,584.0,16.0,False,5,2
cell_005_003,140.0,220.0,591.0,9.0,False,5,3
cell_005_004,180.0,220.0,589.0,11.0,False,5,4
cell_005_005,220.0,220.0,590.0,10.0,False,5,5
cell_005_006,260.0,220.0,600.0,0.0,False,5,6
cell_005_007,300.0,220.0,600.0,0.0,False,5,7
cell_005_008,340.0,220.0,552.0,48.0,False,5,8
cell_005_009,380.0,220.0,491.0,109.0,False,5,9
cell_005_010,420.0,220.0,598.0,2.0,False,5,10
cell_005_011,460.0,220.0,599.0,1.0,False,5,11
cell_006_000,20.0,260.0,589.0,11.0,False,6,0
cell_006_001,60.0,260.0,587.0,13.0,False,6,1
cell_006_002,100.0,260.0,591.0,9.0,False,6,2
cell_006_003,140.0,260.0,488.0,112.0,False,6,3
cell_006_004,180.0,260.0,584.0,16.0,False,6,4
cell_006_005,220.0,260.0,585.0,15.0,False,6,5
cell_006_006,260.0,260.0,597.0,3.0,False,6,6
cell_006_007,300.0,260.0,596.0,4.0,False,6,7
cell_006_008,340.0,260.0,579.0,21.0,False,6,8
cell_006_009,380.0,260.0,545.0,55.0,False,6,9
cell_006_010,420.0,260.0,600.0,0.0,False,6,10
cell_006_011,460.0,260.0,600.0,0.0,False,6,11
cell_007_000,20.0,300.0,596.0,4.0,False,7,0
cell_007_001,60.0,300.0,600.0,0.0,False,7,1
cell_007_002,100.0,300.0,598.0,2.0,False,7,2
cell_007_003,140.0,300.0,600.0,0.0,False,7,3
cell_007_004,180.0,300.0,578.0,22.0,False,7,4
cell_007_005,220.0,300.0,591.0,9.0,False,7,5
cell_007_006,260.0,300.0,594.0,6.0,False,7,6
cell_007_007,300.0,300.0,595.0,5.0,False,7,7
cell_007_008,340.0,300.0,573.0,27.0,False,7,8
cell_007_009,380.0,300.0,568.0,32.0,False,7,9
cell_007_010,420.0,300.0,570.0,30.0,False,7,10
cell_007_011,460.0,300.0,571.0,29.0,False,7,11
cell_008_000,20.0,340.0,506.0,94.0,False,8,0
cell_008_001,60.0,340.0,600.0,0.0,False,8,1
cell_008_002,100.0,340.0,547.0,53.0,False,8,2
cell_008_003,140.0,340.0,562.0,38.0,False,8,3
cell_008_004,180.0,340.0,600.0,0.0,False,8,4
cell_008_005,220.0,340.0,595.0,5.0,False,8,5
cell_008_006,260.0,340.0,595.0,5.0,False,8,6
cell_008_007,300.0,340.0,600.0,0.0,False,8,7
cell_008_008,340.0,340.0,564.0,36.0,False,8,8
cell_008_009,380.0,340.0,564.0,36.0,False,8,9
cell_008_010,420.0,340.0,575.0,25.0,False,8,10
cell_008_011,460.0,340.0,578.0,22.0,False,8,11
cell_009_000,20.0,380.0,501.0,99.0,False,9,0
cell_009_001,60.0,380.0,600.0,0.0,False,9,1
cell_009_002,100.0,380.0,600.0,0.0,False,9,2
cell_009_003,140.0,380.0,560.0,40.0,False,9,3
cell_009_004,180.0,380.0,600.0,0.0,False,9,4
cell_009_005,220.0,380.0,563.0,37.0,False,9,5
cell_009_006,260.0,380.0,600.0,0.0,False,9,6
cell_009_007,300.0,380.0,539.0,61.0,False,9,7
cell_009_008,340.0,380.0,525.0,75.0,False,9,8
cell_009_009,380.0,380.0,558.0,42.0,False,9,9
cell_009_010,420.0,380.0,554.0,46.0,False,9,10
cell_009_011,460.0,380.0,585.0,15.0,False,9,11
cell_010_000,20.0,420.0,495.0,105.0,False,10,0
cell_010_001,60.0,420.0,479.0,121.0,False,10,1
cell_010_002,100.0,420.0,486.0,114.0,False,10,2
cell_010_003,140.0,420.0,492.0,108.0,False,10,3
cell_010_004,180.0,420.0,600.0,0.0,False,10,4
cell_010_005,220.0,420.0,600.0,0.0,False,10,5
cell_010_006,260.0,420.0,600.0,0.0,False,10,6
cell_010_007,300.0,420.0,521.0,79.0,False,10,7
cell_010_008,340.0,420.0,535.0,65.0,False,10,8
cell_010_009,380.0,420.0,600.0,0.0,False,10,9
cell_010_010,420.0,420.0,599.0,1.0,False,10,10
cell_010_011,460.0,420.0,592.0,8.0,False,10,11
cell_011_000,20.0,460.0,488.0,112.0,False,11,0
cell_011_001,60.0,460.0,,600.0,True,11,1
cell_011_002,100.0,460.0,,600.0,True,11,2
cell_011_003,140.0,460.0,457.0,143.0,False,11,3
cell_011_004,180.0,460.0,449.0,151.0,False,11,4
cell_011_005,220.0,460.0,598.0,2.0,False,11,5
cell_011_006,260.0,460.0,590.0,10.0,False,11,6
cell_011_007,300.0,460.0,584.0,16.0,False,11,7
cell_011_008,340.0,460.0,577.0,23.0,False,11,8
cell_011_009,380.0,460.0,570.0,30.0,False,11,9
cell_011_010,420.0,460.0,564.0,36.0,False,11,10
cell_011_011,460.0,460.0,437.0,163.0,False,11,11
